Elapsed Time,Correct Recognitions,Total Recognitions
0.6172866821289062,1,1
0.8963165283203125,2,2
1.1430697441101074,3,3
1.3988523483276367,4,4
1.6553494930267334,5,5
1.9050922393798828,6,6
2.1492226123809814,7,7
2.3976926803588867,8,8
2.41968035697937,8,8
2.4340689182281494,8,8
2.450221538543701,8,8
2.4642069339752197,8,8
2.4922969341278076,8,8
2.510240316390991,8,8
2.559046506881714,8,8
2.5740597248077393,8,8
2.6212573051452637,8,8
2.6353580951690674,8,8
2.7034664154052734,8,8
2.7320516109466553,8,8
2.764373302459717,8,8
2.7774016857147217,8,8
2.830561876296997,8,8
2.854994535446167,8,8
2.893220901489258,8,8
2.9148573875427246,8,8
2.9600534439086914,8,8
2.978541612625122,8,8
3.058178424835205,8,8
3.0733208656311035,8,8
3.0893537998199463,8,8
3.1682777404785156,8,8
3.182971477508545,8,8
3.1982221603393555,8,8
3.2651140689849854,8,8
3.2925233840942383,8,8
3.306906223297119,8,8
3.3604953289031982,8,8
3.3841142654418945,8,8
3.3984012603759766,8,8
3.471362352371216,8,8
3.493048667907715,8,8
3.5082194805145264,8,8
3.565119504928589,8,8
3.5881118774414062,8,8
3.6021878719329834,8,8
3.6606290340423584,8,8
3.6794943809509277,8,8
3.6952152252197266,8,8
3.759941339492798,8,8
3.788477659225464,8,8
3.8043689727783203,8,8
3.8692922592163086,8,8
3.9013350009918213,8,8
3.9142377376556396,8,8
3.930164337158203,8,8
3.963369131088257,8,8
3.976236581802368,8,8
4.059635877609253,8,8
4.085938215255737,8,8
4.103440999984741,8,8
4.155807018280029,8,8
4.180286884307861,8,8
4.195291996002197,8,8
4.2679808139801025,8,8
4.288293123245239,8,8
4.303152799606323,8,8
4.319751024246216,8,8
4.36644721031189,8,8
4.382151365280151,8,8
4.460725545883179,8,8
4.476574659347534,8,8
4.492904424667358,8,8
4.556075572967529,8,8
4.5711894035339355,8,8
4.5860559940338135,8,8
4.670294523239136,8,8
4.695314168930054,8,8
4.71061635017395,8,8
4.728717088699341,8,8
4.764251470565796,8,8
4.78836989402771,8,8
4.863495111465454,8,8
4.881211996078491,8,8
4.897514581680298,8,8
4.957919597625732,8,8
4.974965333938599,8,8
4.990480899810791,8,8
5.075335502624512,8,8
5.100327730178833,8,8
5.1147990226745605,8,8
5.130181312561035,8,8
5.165541172027588,8,8
5.193904876708984,8,8
5.2686052322387695,8,8
5.289608478546143,8,8
5.30431866645813,8,8
5.355560779571533,8,8
5.382300853729248,8,8
5.397638320922852,8,8
5.468291997909546,8,8
5.490809440612793,8,8
5.50710129737854,8,8
5.523104667663574,8,8
5.56437873840332,8,8
5.585290908813477,8,8
5.659738063812256,8,8
5.676265716552734,8,8
5.693996906280518,8,8
5.761241436004639,8,8
5.786381483078003,8,8
5.801921606063843,8,8
5.868582248687744,8,8
5.8971569538116455,8,8
5.912226676940918,8,8
5.92769455909729,8,8
5.9628846645355225,8,8
5.99064564704895,8,8
6.060894966125488,8,8
6.082154273986816,8,8
6.097650766372681,8,8
6.171220779418945,8,8
